algo,key_size,operation,keygen_time_ms,enc_time_ms,dec_time_ms,memory_peak_kb,cpu_percent,system_load,timing_variance,label_algo_key,misuse_flag,misuse_reason,misuse_rule,context
RSA,1024,keygen+enc+dec,20.008209,0.789584,1.196708,110160.0,0.0,high,0.00022538,RSA_1024,1,RSA key size below NIST minimum (2048-bit). RSA-1024 deprecated per NIST SP 800-131A Rev.2 (2019).,weak_rsa_key,classical_context
RSA,1024,keygen+enc+dec,23.015083,0.11425,1.128208,110192.0,0.0,low,0.00016695,RSA_1024,1,RSA key size below NIST minimum (2048-bit). RSA-1024 deprecated per NIST SP 800-131A Rev.2 (2019).,weak_rsa_key,classical_context
RSA,1024,keygen+enc+dec,32.169334,0.086834,1.138666,110192.0,0.1,medium,0.00163474,RSA_1024,1,RSA key size below NIST minimum (2048-bit). RSA-1024 deprecated per NIST SP 800-131A Rev.2 (2019).,weak_rsa_key,classical_context
RSA,1024,keygen+enc+dec,40.562125,0.092084,1.186958,110192.0,0.1,idle,0.02572044,RSA_1024,1,RSA key size below NIST minimum (2048-bit). RSA-1024 deprecated per NIST SP 800-131A Rev.2 (2019).,weak_rsa_key,classical_context
RSA,1024,keygen+enc+dec,66.732209,0.086416,1.11425,110192.0,0.0,low,3.723e-05,RSA_1024,1,RSA key size below NIST minimum (2048-bit). RSA-1024 deprecated per NIST SP 800-131A Rev.2 (2019).,weak_rsa_key,classical_context
RSA,1024,keygen+enc+dec,36.61875,0.070791,1.099625,110192.0,0.1,medium,0.00105117,RSA_1024,1,RSA key size below NIST minimum (2048-bit). RSA-1024 deprecated per NIST SP 800-131A Rev.2 (2019).,weak_rsa_key,classical_context
RSA,1024,keygen+enc+dec,53.758583,0.0785,1.072167,110192.0,0.0,high,0.00012211,RSA_1024,1,RSA key size below NIST minimum (2048-bit). RSA-1024 deprecated per NIST SP 800-131A Rev.2 (2019).,weak_rsa_key,classical_context
RSA,1024,keygen+enc+dec,50.833958,0.078666,1.111416,110192.0,0.1,high,0.00014645,RSA_1024,1,RSA key size below NIST minimum (2048-bit). RSA-1024 deprecated per NIST SP 800-131A Rev.2 (2019).,weak_rsa_key,classical_context
RSA,1024,keygen+enc+dec,19.702917,0.099,1.17875,110224.0,0.1,idle,0.00025812,RSA_1024,1,RSA key size below NIST minimum (2048-bit). RSA-1024 deprecated per NIST SP 800-131A Rev.2 (2019).,weak_rsa_key,classical_context
RSA,1024,keygen+enc+dec,24.63475,0.091791,1.152292,110224.0,0.0,idle,4.093e-05,RSA_1024,1,RSA key size below NIST minimum (2048-bit). RSA-1024 deprecated per NIST SP 800-131A Rev.2 (2019).,weak_rsa_key,classical_context
