algo,key_size,operation,keygen_time_ms,enc_time_ms,dec_time_ms,memory_peak_kb,cpu_percent,system_load,timing_variance,label_algo_key,misuse_flag,misuse_reason,misuse_rule,context
RSA,4096,keygen+enc+dec,1929.765292,0.440292,16.526792,111264.0,0.0,high,9.233e-05,RSA_4096,1,"Classical RSA used in a post-quantum migration context. Post-NIST FIPS 203 (ML-KEM, 2024) mandates PQC for new deployments. RSA is not quantum-safe.",classical_in_pqc_context,classical_context
RSA,4096,keygen+enc+dec,2191.743167,0.524125,17.00825,111264.0,0.0,low,0.00029042,RSA_4096,1,"Classical RSA used in a post-quantum migration context. Post-NIST FIPS 203 (ML-KEM, 2024) mandates PQC for new deployments. RSA is not quantum-safe.",classical_in_pqc_context,classical_context
RSA,4096,keygen+enc+dec,961.016334,0.443583,16.428,111264.0,0.0,medium,8.196e-05,RSA_4096,1,"Classical RSA used in a post-quantum migration context. Post-NIST FIPS 203 (ML-KEM, 2024) mandates PQC for new deployments. RSA is not quantum-safe.",classical_in_pqc_context,classical_context
RSA,4096,keygen+enc+dec,1456.003667,0.4115,16.57575,111264.0,0.0,idle,3.276e-05,RSA_4096,1,"Classical RSA used in a post-quantum migration context. Post-NIST FIPS 203 (ML-KEM, 2024) mandates PQC for new deployments. RSA is not quantum-safe.",classical_in_pqc_context,classical_context
RSA,4096,keygen+enc+dec,467.936291,0.375458,16.340833,111264.0,0.0,low,2.522e-05,RSA_4096,1,"Classical RSA used in a post-quantum migration context. Post-NIST FIPS 203 (ML-KEM, 2024) mandates PQC for new deployments. RSA is not quantum-safe.",classical_in_pqc_context,classical_context
RSA,4096,keygen+enc+dec,478.89375,0.381625,16.626792,111264.0,0.0,medium,0.00010949,RSA_4096,1,"Classical RSA used in a post-quantum migration context. Post-NIST FIPS 203 (ML-KEM, 2024) mandates PQC for new deployments. RSA is not quantum-safe.",classical_in_pqc_context,classical_context
RSA,4096,keygen+enc+dec,397.822125,0.366417,16.594417,111264.0,0.0,high,9.076e-05,RSA_4096,1,"Classical RSA used in a post-quantum migration context. Post-NIST FIPS 203 (ML-KEM, 2024) mandates PQC for new deployments. RSA is not quantum-safe.",classical_in_pqc_context,classical_context
RSA,4096,keygen+enc+dec,699.763459,0.374458,16.839625,111264.0,0.0,high,1.351e-05,RSA_4096,1,"Classical RSA used in a post-quantum migration context. Post-NIST FIPS 203 (ML-KEM, 2024) mandates PQC for new deployments. RSA is not quantum-safe.",classical_in_pqc_context,classical_context
RSA,4096,keygen+enc+dec,1405.969042,0.408667,16.648208,111264.0,0.1,idle,0.00036729,RSA_4096,1,"Classical RSA used in a post-quantum migration context. Post-NIST FIPS 203 (ML-KEM, 2024) mandates PQC for new deployments. RSA is not quantum-safe.",classical_in_pqc_context,classical_context
RSA,4096,keygen+enc+dec,484.675333,0.43025,16.873917,111264.0,0.1,idle,0.00033774,RSA_4096,1,"Classical RSA used in a post-quantum migration context. Post-NIST FIPS 203 (ML-KEM, 2024) mandates PQC for new deployments. RSA is not quantum-safe.",classical_in_pqc_context,classical_context
